,"name","keywords","keyword_file","probability_threshold","minimum_matches","average_templates","skip_probability_threshold"
0,"Naveed","hello new","users/Naveed/keyword_dir/",0.45,1,1,0.22
1,"Erre","hello rhasspy","users/Erre/keyword_dir/",0.45,1,1,0.22
